K,BETA,structures,occ
5,0.001,"['7WK2', '7WVN']","[0.0731415994233119, 0.9268584005766892]"
10,0.001,"['7KDH', '7KDG']","[0.5735169450868679, 0.42648305491313365]"
10,0.001,"['7KDI', '7KDJ']","[0.8888044446419436, 0.11119555535805631]"
10,0.001,"['7VXI', '7VXE']","[0.17174545512245779, 0.8282545448775401]"
10,0.001,"['7W94', '7W92']","[0.009021594969831048, 0.9909784050301683]"
10,0.001,"['7WEV', '7VX1']","[0.050321341817091504, 0.9496786581829075]"
10,0.001,"['7WK2', '7WVN']","[0.07241134371607846, 0.9275886562839228]"
50,0.001,"['7KDH', '7KDG']","[0.5738960461582613, 0.42610395384173355]"
50,0.001,"['7KDI', '7KDJ']","[0.8899619277484133, 0.11003807225158588]"
50,0.001,"['7VXI', '7VXE']","[0.17109019341451645, 0.8289098065854866]"
50,0.001,"['7W94', '7W92']","[0.008909051411232497, 0.9910909485887687]"
50,0.001,"['7WEV', '7VX1']","[0.05024175440584021, 0.9497582455941592]"
50,0.001,"['7WK2', '7WVN']","[0.07203080164340418, 0.9279691983565995]"
0.01,0.01,"['7KDH', '7KDG']","[0.49830726817080667, 0.5016927318291935]"
0.01,0.01,"['7KDI', '7KDJ']","[0.5915083884642454, 0.40849161153575453]"
0.01,0.01,"['7VXI', '7VXE']","[0.5372178631955861, 0.46278213680441377]"
0.01,0.01,"['7W94', '7W92']","[0.38370366076300017, 0.616296339237]"
0.01,0.01,"['7WEV', '7VX1']","[0.40653553055402514, 0.5934644694459749]"
0.01,0.01,"['7WK2', '7WVN']","[0.3563139122378692, 0.6436860877621311]"
0.05,0.01,"['7KDH', '7KDG']","[0.4937383742334289, 0.5062616257665711]"
0.05,0.01,"['7KDI', '7KDJ']","[0.7371563519633451, 0.2628436480366549]"
0.05,0.01,"['7VXI', '7VXE']","[0.6341576057738421, 0.36584239422615783]"
0.05,0.01,"['7W94', '7W92']","[0.22458205107395648, 0.7754179489260435]"
0.05,0.01,"['7WEV', '7VX1']","[0.29577804124703755, 0.7042219587529625]"
0.05,0.01,"['7WK2', '7WVN']","[0.20615856380380182, 0.7938414361961982]"
0.1,0.01,"['7KDH', '7KDG']","[0.4905501929006883, 0.5094498070993116]"
0.1,0.01,"['7KDI', '7KDJ']","[0.7964395681685156, 0.2035604318314846]"
0.1,0.01,"['7VXI', '7VXE']","[0.698923340184185, 0.3010766598158152]"
0.1,0.01,"['7W94', '7W92']","[0.16708552680614863, 0.8329144731938514]"
0.1,0.01,"['7WEV', '7VX1']","[0.2602669304787405, 0.7397330695212596]"
0.1,0.01,"['7WK2', '7WVN']","[0.16200732043841978, 0.8379926795615801]"
0.5,0.01,"['7KDH', '7KDG']","[0.48405451416668227, 0.5159454858333179]"
0.5,0.01,"['7KDI', '7KDJ']","[0.8694789770550311, 0.13052102294496848]"
0.5,0.01,"['7VXI', '7VXE']","[0.8239677357066434, 0.17603226429335633]"
0.5,0.01,"['7W94', '7W92']","[0.10160539393265274, 0.8983946060673474]"
0.5,0.01,"['7WEV', '7VX1']","[0.2215300804703585, 0.778469919529641]"
0.5,0.01,"['7WK2', '7WVN']","[0.11598590885217457, 0.8840140911478258]"
1,0.01,"['7KDH', '7KDG']","[0.48255529019513393, 0.5174447098048658]"
1,0.01,"['7KDI', '7KDJ']","[0.8813165629352842, 0.11868343706471605]"
1,0.01,"['7VXI', '7VXE']","[0.851754598317919, 0.14824540168208075]"
1,0.01,"['7W94', '7W92']","[0.09199957325539955, 0.9080004267446005]"
1,0.01,"['7WEV', '7VX1']","[0.21579029993415166, 0.7842097000658484]"
1,0.01,"['7WK2', '7WVN']","[0.10915396346318228, 0.890846036536817]"
5,0.01,"['7KDH', '7KDG']","[0.48113847372380225, 0.5188615262761976]"
5,0.01,"['7KDI', '7KDJ']","[0.8912318636104718, 0.10876813638952698]"
5,0.01,"['7VXI', '7VXE']","[0.8775368713520182, 0.12246312864798155]"
5,0.01,"['7W94', '7W92']","[0.08356101249650862, 0.9164389875034912]"
5,0.01,"['7WEV', '7VX1']","[0.21103087683554125, 0.7889691231644579]"
5,0.01,"['7WK2', '7WVN']","[0.1036486898388604, 0.8963513101611399]"
10,0.01,"['7KDH', '7KDG']","[0.48094739214671633, 0.5190526078532838]"
10,0.01,"['7KDI', '7KDJ']","[0.8926458361987598, 0.107354163801241]"
10,0.01,"['7VXI', '7VXE']","[0.8810268473625075, 0.11897315263749307]"
10,0.01,"['7W94', '7W92']","[0.08248424401658726, 0.9175157559834148]"
10,0.01,"['7WEV', '7VX1']","[0.21043176311960754, 0.7895682368803947]"
10,0.01,"['7WK2', '7WVN']","[0.10295432623789014, 0.897045673762109]"
50,0.01,"['7KDH', '7KDG']","[0.48082677067470503, 0.5191732293252953]"
50,0.01,"['7KDI', '7KDJ']","[0.8935925186287282, 0.10640748137127441]"
50,0.01,"['7VXI', '7VXE']","[0.8838578753763692, 0.11614212462363074]"
50,0.01,"['7W94', '7W92']","[0.0811194418537622, 0.9188805581462381]"
50,0.01,"['7WEV', '7VX1']","[0.21000731578580822, 0.7899926842141906]"
50,0.01,"['7WK2', '7WVN']","[0.10243434616721668, 0.8975656538327873]"
0.01,0.1,"['7KDH', '7KDG']","[0.500426090548076, 0.49957390945192376]"
0.01,0.1,"['7KDI', '7KDJ']","[0.5206375202236719, 0.47936247977632734]"
0.01,0.1,"['7VXI', '7VXE']","[0.512944870097839, 0.4870551299021614]"
0.01,0.1,"['7W94', '7W92']","[0.49687024994812534, 0.5031297500518741]"
0.01,0.1,"['7WEV', '7VX1']","[0.5033142188711797, 0.49668578112882]"
0.01,0.1,"['7WK2', '7WVN']","[0.5323668946237865, 0.46763310537621394]"
0.05,0.1,"['7KDH', '7KDG']","[0.501461578397463, 0.498538421602537]"
0.05,0.1,"['7KDI', '7KDJ']","[0.5709078400983771, 0.429092159901623]"
0.05,0.1,"['7VXI', '7VXE']","[0.5456838075539304, 0.45431619244606974]"
